unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
488,object,bus,0.32776409666599715,red-c,21004512.0,3431684.0,174177.0,0.0071789985821048121,bus,1628191.0,3197395.0,1191216.0,0.32776409666599715,coach,689166.0,2468510.0,57109.0,0.018418889190267459,bus_depot-outdoor-s,163072.0,662974.0,59884.0,0.078161015555456931,,24924928.0,91279.0,81068.0,0.0032511549263872161
1342,texture,chequered,0.30475840474638416,white-c,72511065.0,3112959.0,417837.0,0.0055558859804978548,cage,152640.0,540374.0,11240.0,0.016486401652160389,muzzle,666221.0,272365.0,18800.0,0.020439537022742243,shower-s,225792.0,255803.0,6618.0,0.013933306244302352,chequered,1530368.0,933573.0,575514.0,0.30475840474638416
684,part,crosswalk,0.27154802611678253,white-c,72511065.0,3371749.0,695316.0,0.0092477608444957171,road,12902886.0,1217246.0,499804.0,0.036695445219821432,crosswalk,241792.0,477023.0,153508.0,0.27154802611678253,crosswalk-s,200704.0,866128.0,50184.0,0.049362217798097269,chequered,1530368.0,1728036.0,403591.0,0.1413721319049619
459,scene,cockpit-s,0.25627211689246648,black-c,139916835.0,2877275.0,888362.0,0.0062602256252509234,airplane,1293178.0,1923695.0,197166.0,0.065293089693801418,body,1291612.0,1058594.0,104833.0,0.046688456661766221,cockpit-s,539392.0,615808.0,235654.0,0.25627211689246648,studded,1593088.0,356687.0,48459.0,0.025487083683091081
1902,object,car,0.25221261327061972,black-c,139916835.0,3323991.0,1134543.0,0.0079837638142994712,car,5354795.0,3183160.0,1719660.0,0.25221261327061972,wheel,1513439.0,2143126.0,97453.0,0.02738126813654642,street-s,28111104.0,1966325.0,1227375.0,0.042543247925983088,potholed,1580544.0,112208.0,11205.0,0.0066635068778927971
550,object,train,0.25092932848228428,black-c,139916835.0,3396786.0,1154663.0,0.0081223372501084308,train,1646804.0,2880323.0,908116.0,0.25092932848228428,coach,689166.0,2136243.0,309663.0,0.12308993038247899,train_station-outdoor-s,137984.0,408783.0,29960.0,0.057971351007242537,,24924928.0,219905.0,179027.0,0.0071708880538445263
963,part,crosswalk,0.24568871344342597,white-c,72511065.0,3071993.0,524653.0,0.006989930041812106,road,12902886.0,1691679.0,806626.0,0.058502289573517843,crosswalk,241792.0,596341.0,165306.0,0.24568871344342597,crosswalk-s,200704.0,1173248.0,45728.0,0.034427927819403958,zigzagged,1618176.0,801332.0,195963.0,0.088130890087675315
1122,scene,skyscraper-s,0.2410152090603658,blue-c,61494563.0,3366876.0,620163.0,0.0096536532057675817,skyscraper,1270392.0,2805517.0,666430.0,0.19546388172503776,computer case,46345.0,242756.0,1600.0,0.0055651980340937924,skyscraper-s,4402944.0,2337058.0,1308963.0,0.2410152090603658,braided,1568000.0,215550.0,18861.0,0.010688002248554845
307,scene,shoe_shop-s,0.22931447356796444,red-c,21004512.0,2944241.0,131174.0,0.0055074447323130533,shelf,1919975.0,1325636.0,123959.0,0.039709423087519041,body,1291612.0,441452.0,16492.0,0.0096075201040212704,shoe_shop-s,577024.0,744864.0,246583.0,0.22931447356796444,studded,1593088.0,297821.0,33427.0,0.017995867523884483
1864,scene,closet-s,0.22784893680750198,black-c,139916835.0,3191566.0,726037.0,0.0050992059662670021,apparel,217035.0,1366453.0,116126.0,0.079139298959629595,drawer,540514.0,416431.0,6011.0,0.0063211537288602564,closet-s,990976.0,980791.0,365896.0,0.22784893680750198,pleated,1505280.0,574814.0,86338.0,0.043304195698972189
897,scene,cockpit-s,0.22712334413013024,black-c,139916835.0,2869040.0,819427.0,0.0057719764884164746,controls,151446.0,2071268.0,110645.0,0.05238701955286499,screen,677188.0,519851.0,40231.0,0.034777594899067087,cockpit-s,539392.0,1169619.0,316314.0,0.22712334413013024,bubbly,1517824.0,348039.0,30178.0,0.016439639698532155
557,object,bicycle,0.2248757255041339,grey-c,159331282.0,3020777.0,872369.0,0.0054023450255570836,bicycle,1152271.0,1894284.0,559319.0,0.2248757255041339,wheel,1513439.0,1402731.0,470380.0,0.19232231712452827,rope_bridge-s,188160.0,421123.0,12432.0,0.020829319210322172,cobwebbed,1505280.0,241430.0,53246.0,0.031442061951125033
474,object,dog,0.22375117774534459,black-c,139916835.0,3566667.0,882473.0,0.0061884055549136325,dog,3793935.0,3331437.0,1302806.0,0.22375117774534459,head,4946761.0,3291969.0,945115.0,0.12958114734600057,bullring-s,137984.0,16794.0,2120.0,0.013887251241336836,matted,1593088.0,41130.0,7565.0,0.0046506538272145315
280,object,train,0.22302025975223574,black-c,139916835.0,3285715.0,892858.0,0.0062740491350371276,train,1646804.0,2915552.0,831955.0,0.22302025975223574,coach,689166.0,1767070.0,304209.0,0.14135928591973984,subway_interior-s,363776.0,715428.0,64955.0,0.064042459001684982,,24924928.0,256984.0,225434.0,0.00903308551791643
