unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
46,color,red-c,0.04967921765569723,red-c,21004512.0,3517547.0,1160580.0,0.04967921765569723,person,14523849.0,1708701.0,170684.0,0.01062666068811681,arm,2299112.0,783419.0,27022.0,0.0088436983821680772,skyscraper-s,4402944.0,908756.0,42130.0,0.007994959740548091,frilly,1618176.0,1027204.0,92091.0,0.036067597518338115
23,object,grass,0.04880049559876333,green-c,63326720.0,3394791.0,2303848.0,0.035764228205546665,grass,12961339.0,2184089.0,704714.0,0.04880049559876333,body,1291612.0,782240.0,6708.0,0.00324505694813714,park-s,1179136.0,972264.0,33405.0,0.015771991907440764,veined,1806336.0,683829.0,73801.0,0.030542169971080516
25,texture,banded,0.044423264452963844,white-c,72511065.0,2514528.0,644366.0,0.0086630192319898137,curtain,3110939.0,1066695.0,63344.0,0.015396095073512077,door frame,221497.0,365855.0,4744.0,0.0081426962897866127,kitchen-s,9006592.0,719822.0,56530.0,0.0058459853292966079,banded,2571520.0,317055.0,122862.0,0.044423264452963844
24,color,blue-c,0.043263953748333778,blue-c,61494563.0,3532387.0,2696655.0,0.043263953748333778,sky,36622673.0,2415812.0,970837.0,0.025502941500352216,screen,677188.0,748846.0,19132.0,0.013598672828668949,beach-s,990976.0,1330563.0,42137.0,0.018485988869010379,bubbly,1517824.0,643677.0,61263.0,0.029169551260380965
15,color,white-c,0.034537610363478695,white-c,72511065.0,3397708.0,2534183.0,0.034537610363478695,sky,36622673.0,1722761.0,650950.0,0.017269104943842713,screen,677188.0,631393.0,15625.0,0.012084711312681948,street-s,28111104.0,877790.0,190104.0,0.0066011106716636356,zigzagged,1618176.0,501929.0,47180.0,0.022760109507097458
9,color,red-c,0.033834087354371246,red-c,21004512.0,2808200.0,779314.0,0.033834087354371246,person,14523849.0,1233171.0,131655.0,0.0084257231751066301,hand,398768.0,645783.0,11692.0,0.011320034970891476,dining_room-s,5694976.0,692103.0,38581.0,0.0060771855012004411,paisley,1555456.0,418194.0,25734.0,0.013211041954581204
41,color,white-c,0.030578668573234463,white-c,72511065.0,2922557.0,2238218.0,0.030578668573234463,windowpane,8841352.0,1532851.0,120629.0,0.011764580818356605,shade,197478.0,660848.0,6553.0,0.0076933643118530393,airport_terminal-s,1480192.0,804926.0,10269.0,0.0045141457740711585,zigzagged,1618176.0,379902.0,30189.0,0.01534080428316841
35,color,red-c,0.03039891154682333,red-c,21004512.0,2934715.0,706257.0,0.03039891154682333,flower,591549.0,1107122.0,12081.0,0.0071629738110625578,body,1291612.0,525851.0,10061.0,0.0055665535392790313,ball_pit-s,275968.0,598723.0,8955.0,0.010343799957492813,waffled,1555456.0,497298.0,39339.0,0.019538445874298146
53,texture,lacelike,0.029069749194163452,white-c,72511065.0,2628220.0,415533.0,0.0055609225832236051,motorbike,1440771.0,1300972.0,23258.0,0.0085555005821257059,wheel,1513439.0,621410.0,22617.0,0.010707630601183961,forest-broadleaf-s,1216768.0,608801.0,16354.0,0.0090392794665089555,lacelike,1530368.0,764757.0,64834.0,0.029069749194163452
43,color,blue-c,0.024960587768404405,blue-c,61494563.0,2707481.0,1563495.0,0.024960587768404405,sky,36622673.0,1663236.0,288185.0,0.0075842700473323088,leg,2786636.0,741890.0,23105.0,0.0065912197136948746,skyscraper-s,4402944.0,927740.0,34068.0,0.0064320313196199238,smeared,1869056.0,353827.0,17149.0,0.0077747362102592605
