unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
454,object,car,0.27031011595887255,red-c,21004512.0,3501721.0,194719.0,0.0080093325327250282,car,5354795.0,3229741.0,1826709.0,0.27031011595887255,wheel,1513439.0,2658982.0,112686.0,0.027756984138127241,auto_showroom-s,301056.0,1004207.0,56059.0,0.044875776894726563,,24924928.0,99290.0,91622.0,0.0036747878159177649
168,object,train,0.26870579071398143,black-c,139916835.0,3602524.0,1065627.0,0.0074805130412448585,train,1646804.0,3037561.0,992126.0,0.26870579071398143,coach,689166.0,2329648.0,340021.0,0.12693067362801083,train_station-outdoor-s,137984.0,402665.0,29367.0,0.057437969652755216,interlaced,1630720.0,305240.0,21130.0,0.011034922160191767
385,scene,closet-s,0.25089448633758055,red-c,21004512.0,3445208.0,157600.0,0.0064877005382815494,apparel,217035.0,1637372.0,135115.0,0.0785875813997855,drawer,540514.0,579472.0,10797.0,0.0097341390872069597,closet-s,990976.0,1092365.0,417860.0,0.25089448633758055,pleated,1505280.0,945962.0,149734.0,0.06505908300123224
110,scene,art_gallery-s,0.24711800875927431,pink-c,18491188.0,3427340.0,173616.0,0.0079842125826952073,painting,2207098.0,1526567.0,319949.0,0.093724551192893607,screen,677188.0,583194.0,48203.0,0.039765579176012783,art_gallery-s,953344.0,937136.0,374601.0,0.24711800875927431,paisley,1555456.0,1099942.0,218651.0,0.089730694241133779
386,object,bus,0.24211201432714588,red-c,21004512.0,3475301.0,163364.0,0.0067182506787894893,bus,1628191.0,3221259.0,945253.0,0.24211201432714588,coach,689166.0,2456039.0,204800.0,0.069650269265628381,bus_depot-outdoor-s,163072.0,524928.0,44286.0,0.068797633731750421,,24924928.0,165581.0,149770.0,0.0060050345741559626
292,object,dog,0.23365046693768551,black-c,139916835.0,3605939.0,868024.0,0.0060847886242834538,dog,3793935.0,3371968.0,1357205.0,0.23365046693768551,head,4946761.0,3332149.0,994651.0,0.13654800028389985,chicken_coop-outdoor-s,188160.0,17082.0,1598.0,0.0078470271650527366,smeared,1869056.0,39174.0,7590.0,0.0039933916996380166
384,part,wheel,0.23350456966318056,black-c,139916835.0,3501047.0,953223.0,0.0066909436114959567,bicycle,1152271.0,2696422.0,591862.0,0.18172941733851097,wheel,1513439.0,2197335.0,702456.0,0.23350456966318056,garage-indoor-s,815360.0,491622.0,111246.0,0.093035586450520846,spiralled,1605632.0,165778.0,20761.0,0.011859030565236092
257,object,bus,0.22949371439868166,blue-c,61494563.0,3292438.0,394679.0,0.0061292866562569371,bus,1628191.0,2538680.0,777776.0,0.22949371439868166,coach,689166.0,1413715.0,36171.0,0.017501729802439626,greenhouse-outdoor-s,150528.0,887375.0,49953.0,0.050562275418796494,,24924928.0,238682.0,147906.0,0.005912525987675582
484,object,water,0.20389736285305987,blue-c,61494563.0,3595147.0,638228.0,0.0099024565486329694,water,5655946.0,3354064.0,1525975.0,0.20389736285305987,torso,7669375.0,1156638.0,49077.0,0.0055915868590132138,canal-urban-s,150528.0,879977.0,40275.0,0.040672369045575266,,24924928.0,417181.0,322575.0,0.012892925983353646
193,scene,skyscraper-s,0.20310338724543434,blue-c,61494563.0,3473675.0,651501.0,0.010129571716301466,skyscraper,1270392.0,2286057.0,535761.0,0.17736389855556084,body,1291612.0,283819.0,24677.0,0.015912904303325995,skyscraper-s,4402944.0,1816902.0,1050011.0,0.20310338724543434,chequered,1530368.0,1022041.0,114714.0,0.047058389175019845
