unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
203,texture,chequered,0.18915770683542626,white-c,72511065.0,2460919.0,668362.0,0.0089950123831110153,windowpane,8841352.0,831340.0,67245.0,0.0070007153232952094,pane,480756.0,76514.0,4063.0,0.0073444479191333428,shower-s,225792.0,493050.0,8485.0,0.011944698229200246,chequered,1530368.0,766590.0,365374.0,0.18915770683542626
84,texture,polka-dotted,0.16752653151338387,green-c,63326720.0,2515962.0,377410.0,0.0057650413489460485,ball,122639.0,1186401.0,16013.0,0.012384118815771054,wheel,1513439.0,426463.0,35350.0,0.018560795399653041,ball_pit-s,275968.0,538571.0,16751.0,0.020996806169057441,polka-dotted,1705984.0,980428.0,385469.0,0.16752653151338387
215,texture,dotted,0.14798721712697135,white-c,72511065.0,2536378.0,822706.0,0.011083986730731023,ball,122639.0,510441.0,10433.0,0.016755882546611481,shade,197478.0,125149.0,3024.0,0.0094617384692884578,ball_pit-s,275968.0,278756.0,11435.0,0.021047729661377274,dotted,2935296.0,1483192.0,569588.0,0.14798721712697135
71,texture,chequered,0.12438764497245562,red-c,21004512.0,3239343.0,166428.0,0.0069122003775569539,ball,122639.0,525989.0,23152.0,0.037015009368864663,arcades,36106.0,57089.0,2393.0,0.026354045065086644,ball_pit-s,275968.0,370137.0,24981.0,0.040219022288625131,chequered,1530368.0,2406609.0,435536.0,0.12438764497245562
83,texture,chequered,0.11369164747845385,red-c,21004512.0,2213108.0,121157.0,0.0052456949793567957,ball,122639.0,462834.0,8149.0,0.014115124262978845,lid,90429.0,139423.0,2637.0,0.011605747859956425,ball_pit-s,275968.0,298296.0,8522.0,0.015063403459527485,chequered,1530368.0,904427.0,248557.0,0.11369164747845385
229,scene,ball_pit-s,0.11293670986387654,red-c,21004512.0,2790451.0,645626.0,0.027889610834210932,ball,122639.0,1283612.0,69741.0,0.052181427748389464,body,1291612.0,322153.0,10322.0,0.0064373975252004596,ball_pit-s,275968.0,650938.0,94059.0,0.11293670986387654,sprinkled,1718528.0,947465.0,82672.0,0.032002217300908402
189,part,wheel,0.10355534909064236,grey-c,159331282.0,2220571.0,701653.0,0.0043621518655245686,bicycle,1152271.0,1167319.0,103024.0,0.046479103261531575,wheel,1513439.0,382255.0,177888.0,0.10355534909064236,laundromat-s,363776.0,503052.0,10366.0,0.01210328070597411,paisley,1555456.0,380126.0,44944.0,0.023771869601690011
242,texture,swirly,0.10196385205888328,purple-c,10857154.0,2651004.0,70310.0,0.0052322365902635597,painting,2207098.0,804817.0,33537.0,0.011260155695482575,upper sash,44217.0,192340.0,2208.0,0.0094218451966938156,labyrinth-outdoor-s,125440.0,395733.0,4350.0,0.0084168080754919942,swirly,1605632.0,1296219.0,268506.0,0.10196385205888328
191,texture,perforated,0.10065888028009683,red-c,21004512.0,3135343.0,157979.0,0.0065874329431108722,ball,122639.0,754724.0,38673.0,0.046111197224242562,roof,443437.0,184388.0,7275.0,0.011723471114334057,ball_pit-s,275968.0,525419.0,43719.0,0.05770205419788086,perforated,1793792.0,1801289.0,328782.0,0.10065888028009683
115,texture,perforated,0.099770135999945789,pink-c,18491188.0,3369956.0,193179.0,0.0089154196067789473,trade name,111916.0,301502.0,3598.0,0.0087794641549948736,mouth,47068.0,65412.0,3141.0,0.028727169628403378,shopfront-s,200704.0,124049.0,3900.0,0.012155099064057368,perforated,1793792.0,2912660.0,426965.0,0.099770135999945789
166,texture,polka-dotted,0.099304513361826899,red-c,21004512.0,2349665.0,131521.0,0.0056634779415412262,light,350013.0,881919.0,10910.0,0.0089351379418225064,crosswalk,241792.0,117222.0,11050.0,0.031756158683082146,crosswalk-s,200704.0,545251.0,4112.0,0.0055429518105582975,polka-dotted,1705984.0,981555.0,242776.0,0.099304513361826899
66,part,hair,0.099138719752657978,green-c,63326720.0,1993271.0,452527.0,0.0069761783811989322,plant,3760075.0,1313844.0,144324.0,0.02927705014306449,hair,989801.0,403775.0,125696.0,0.099138719752657978,oasis-s,137984.0,626712.0,4161.0,0.0054711485993412523,freckled,1555456.0,102323.0,4076.0,0.002464771485569053
27,texture,grid,0.096979187620550494,red-c,21004512.0,3074052.0,183220.0,0.0076676025254124817,ball,122639.0,373611.0,19198.0,0.040242992378189367,blade,20216.0,56379.0,490.0,0.0064384731620786987,ball_pit-s,275968.0,186980.0,23296.0,0.052987362732342842,grid,1682240.0,2320512.0,353866.0,0.096979187620550494
141,object,car,0.094006519869272748,blue-c,61494563.0,1754908.0,367726.0,0.0058478975098416874,car,5354795.0,1278172.0,569962.0,0.094006519869272748,windshield,67640.0,667294.0,14901.0,0.020694884817779181,street-s,28111104.0,746332.0,362294.0,0.0127142373952725,,24924928.0,73659.0,43502.0,0.0017432118544176468
108,part,crosswalk,0.093131128356038276,black-c,139916835.0,2450653.0,496127.0,0.0034970200927303434,stairway,494268.0,1155454.0,52920.0,0.033141241055559802,crosswalk,241792.0,143047.0,32787.0,0.093131128356038276,skyscraper-s,4402944.0,743335.0,90509.0,0.017902119756238913,lined,1568000.0,399969.0,56393.0,0.029500788877868313
1,texture,perforated,0.092765438129890312,red-c,21004512.0,2048666.0,70373.0,0.003061984818650291,curtain,3110939.0,674217.0,29976.0,0.0079825734052695208,door frame,221497.0,38672.0,1856.0,0.0071850816644922991,skyscraper-s,4402944.0,448944.0,20293.0,0.0042000622982679633,perforated,1793792.0,613096.0,204322.0,0.092765438129890312
210,texture,dotted,0.091399982258231982,pink-c,18491188.0,3484716.0,159909.0,0.0073298971694850503,ball,122639.0,266468.0,20505.0,0.055629106733007402,riser,23757.0,29190.0,695.0,0.013300926280333742,ball_pit-s,275968.0,171566.0,21775.0,0.051143957027332348,dotted,2935296.0,2982529.0,495592.0,0.091399982258231982
231,part,pane,0.090533035708282611,white-c,72511065.0,2356989.0,1298096.0,0.017644375982924988,windowpane,8841352.0,901120.0,466420.0,0.050282167456586056,pane,480756.0,168037.0,53861.0,0.090533035708282611,window_seat-s,577024.0,648467.0,15478.0,0.012791598106797199,grid,1682240.0,76208.0,7573.0,0.0043252659384593415
153,scene,ball_pit-s,0.089918186466678013,yellow-c,34166024.0,2671299.0,333028.0,0.0091229812820655763,ball,122639.0,1161627.0,65790.0,0.053993677347768852,screen,677188.0,210580.0,7766.0,0.0088249799432274009,ball_pit-s,275968.0,747160.0,84408.0,0.089918186466678013,dotted,2935296.0,728327.0,238639.0,0.069675945931426245
2,texture,dotted,0.088620614920375207,pink-c,18491188.0,2367167.0,95978.0,0.0046226884330247929,washer,211900.0,819436.0,25170.0,0.025015752867817036,wheel,1513439.0,406682.0,113983.0,0.063108688261915763,laundromat-s,363776.0,318781.0,14500.0,0.021704734775625428,dotted,2935296.0,721385.0,297677.0,0.088620614920375207
54,texture,zigzagged,0.078843086074625521,blue-c,61494563.0,2131833.0,253331.0,0.003997455385817303,house,1833277.0,1296113.0,70917.0,0.023187060994162772,roof,443437.0,312237.0,23904.0,0.032666001612528521,mosque-outdoor-s,225792.0,789167.0,10407.0,0.010359841999219551,zigzagged,1618176.0,337650.0,142934.0,0.078843086074625521
81,texture,chequered,0.078162377867750862,grey-c,159331282.0,2510313.0,586062.0,0.0036343683165277808,building,35246027.0,1495997.0,641613.0,0.017773010949930737,balcony,317196.0,329696.0,13382.0,0.021123581316790575,building_facade-s,3148544.0,1186314.0,77560.0,0.018218128023925036,chequered,1530368.0,376553.0,138244.0,0.078162377867750862
106,texture,flecked,0.077145927457693969,pink-c,18491188.0,2937397.0,123447.0,0.0057942361133732157,ground,7897548.0,1321357.0,280259.0,0.031353630068804601,roof,443437.0,66097.0,4684.0,0.009278003367336831,ocean-s,313600.0,478408.0,11730.0,0.015033103586157752,flecked,1580544.0,1412502.0,214364.0,0.077145927457693969
130,part,roof,0.072872755264304007,pink-c,18491188.0,2058804.0,109717.0,0.0053676870785740408,house,1833277.0,1176989.0,48512.0,0.016379483238648448,roof,443437.0,86192.0,35974.0,0.072872755264304007,bow_window-outdoor-s,288512.0,767419.0,11439.0,0.010951735389069519,chequered,1530368.0,247860.0,99274.0,0.059128481185309424
202,texture,swirly,0.072529433244895886,yellow-c,34166024.0,2296390.0,174063.0,0.0047966632597882444,book,615007.0,1092005.0,35745.0,0.02138796493917489,wheel,1513439.0,282552.0,43950.0,0.025085029402850734,bookstore-s,401408.0,673739.0,11725.0,0.011025726381436533,swirly,1605632.0,561965.0,146583.0,0.072529433244895886
119,texture,chequered,0.072401851448120877,brown-c,182265724.0,2094419.0,657362.0,0.0035783998283618799,floor,20378155.0,915894.0,211013.0,0.010008662888969122,back pillow,282308.0,126580.0,3640.0,0.0089821541377131994,airport_terminal-s,1480192.0,602441.0,19626.0,0.0095132978220626493,chequered,1530368.0,260127.0,120883.0,0.072401851448120877
128,part,lid,0.071397476508166816,yellow-c,34166024.0,2007618.0,172233.0,0.0047840627570993124,toilet,310112.0,622113.0,55991.0,0.063899597596075927,lid,90429.0,212289.0,20173.0,0.071397476508166816,bathroom-s,9257472.0,467622.0,136974.0,0.014285803682056545,honeycombed,1555456.0,110719.0,23115.0,0.014068262875366694
134,object,painting,0.068716959096774277,white-c,72511065.0,1775262.0,196408.0,0.0026509409465004276,painting,2207098.0,951822.0,203114.0,0.068716959096774277,balcony,317196.0,181043.0,11194.0,0.022983502551098968,building_facade-s,3148544.0,715167.0,36055.0,0.0094196030155269967,,24924928.0,35971.0,31728.0,0.0012727258359293216
133,texture,polka-dotted,0.067534667648380495,white-c,72511065.0,2568003.0,529912.0,0.0071082226604953112,signboard,661129.0,615823.0,16175.0,0.01282939013005472,frame,136341.0,108398.0,3679.0,0.015261760557537536,baptistry-indoor-s,137984.0,291998.0,2839.0,0.0066464860714093386,polka-dotted,1705984.0,1330091.0,192069.0,0.067534667648380495
239,texture,dotted,0.061445952414695401,green-c,63326720.0,2113333.0,431727.0,0.0066411031719229323,washer,211900.0,689365.0,9483.0,0.010633764754166376,drawer,540514.0,132106.0,7029.0,0.010560539430370901,laundromat-s,363776.0,389571.0,6768.0,0.0090653500835142682,dotted,2935296.0,554906.0,202044.0,0.061445952414695401
68,texture,chequered,0.061442736233903866,pink-c,18491188.0,2244921.0,78971.0,0.0038229400413551965,person,14523849.0,868150.0,333493.0,0.022146486510680408,neck,812426.0,531757.0,40348.0,0.030945633458221326,witness_stand-s,137984.0,247792.0,1941.0,0.0050568603696900995,chequered,1530368.0,297516.0,105809.0,0.061442736233903866
62,texture,grid,0.061150799921820979,white-c,72511065.0,2874398.0,337041.0,0.0044909805032276361,skyscraper,1270392.0,1109141.0,42012.0,0.017972886660697379,safety side,15966.0,143303.0,1930.0,0.012266507350370848,skyscraper-s,4402944.0,615800.0,51003.0,0.010266839595703561,grid,1682240.0,983565.0,153622.0,0.061150799921820979
160,texture,cobwebbed,0.05955188162155442,black-c,139916835.0,2404401.0,862583.0,0.0060977747328047867,windowpane,8841352.0,1196238.0,118719.0,0.011969003327092368,pane,480756.0,209036.0,11347.0,0.016725010870446387,bow_window-outdoor-s,288512.0,653699.0,7814.0,0.0083626124655794051,cobwebbed,1505280.0,548620.0,115439.0,0.05955188162155442
6,texture,lined,0.059489853681317123,white-c,72511065.0,2327460.0,275813.0,0.0036990741431186139,track,493725.0,942512.0,43476.0,0.031215693144767839,roof,443437.0,132708.0,3804.0,0.0066463873809494674,staircase-s,865536.0,468988.0,9331.0,0.0070412385214832863,lined,1568000.0,560050.0,119489.0,0.059489853681317123
126,object,horse,0.059083591141272152,orange-c,30348501.0,1744109.0,134119.0,0.0041966624769611306,horse,1230680.0,909263.0,119382.0,0.059083591141272152,torso,7669375.0,640301.0,178294.0,0.021926654042326386,pasture-s,852992.0,215360.0,8970.0,0.0084672006887034131,waffled,1555456.0,91162.0,6029.0,0.0036748996854178589
136,texture,polka-dotted,0.058832035133774899,red-c,21004512.0,2320379.0,583563.0,0.025660902476759492,fabric,1010421.0,701475.0,11018.0,0.0064778308614727217,body,1291612.0,213760.0,6618.0,0.0044156679481756177,movie_theater-indoor-s,238336.0,310162.0,2419.0,0.0044297619941437039,polka-dotted,1705984.0,1127873.0,157458.0,0.058832035133774899
142,object,cat,0.05846000866303383,pink-c,18491188.0,2418075.0,143475.0,0.0069092008451593556,cat,4163987.0,1241310.0,298541.0,0.05846000866303383,head,4946761.0,916351.0,227014.0,0.040278575709648767,waterfall-cascade-s,137984.0,180156.0,3644.0,0.011586792836792833,waffled,1555456.0,295237.0,40936.0,0.022619611362188406
124,part,lid,0.058084141865282254,white-c,72511065.0,1816587.0,411302.0,0.0055644251914495233,light,350013.0,756473.0,36609.0,0.034217952157117128,lid,90429.0,194093.0,15619.0,0.058084141865282254,classroom-s,639744.0,474901.0,12116.0,0.010989280100568783,polka-dotted,1705984.0,222063.0,75834.0,0.040942375417945993
212,part,wheel,0.057863595420371249,black-c,139916835.0,1838951.0,530560.0,0.0037568359069221811,car,5354795.0,1038885.0,239374.0,0.038895368543585579,wheel,1513439.0,474859.0,108757.0,0.057863595420371249,street-s,28111104.0,632176.0,205436.0,0.0071987218095382402,swirly,1605632.0,110647.0,14823.0,0.0087119502355629524
185,scene,mountain_snowy-s,0.057207305760062666,blue-c,61494563.0,2230146.0,340505.0,0.0053720797692750075,mountain,5469345.0,1538710.0,270159.0,0.040095454129894556,wave,42267.0,168491.0,2240.0,0.010742477867618139,mountain_snowy-s,1793792.0,762401.0,138320.0,0.057207305760062666,potholed,1580544.0,465482.0,22459.0,0.01109871825346035
234,texture,chequered,0.057184849931198684,orange-c,30348501.0,1798158.0,215589.0,0.0067516998334224317,pillar,604113.0,682627.0,6991.0,0.0054627899689704777,arm,2299112.0,147938.0,23229.0,0.0095836284940183283,art_gallery-s,953344.0,471952.0,9366.0,0.0066147337792122488,chequered,1530368.0,172927.0,92134.0,0.057184849931198684
179,texture,chequered,0.056393358292396674,blue-c,61494563.0,2413304.0,751359.0,0.011896778713604622,mountain,5469345.0,1325366.0,83495.0,0.012441113503126705,body,1291612.0,228911.0,17694.0,0.01177379462334038,mountain_snowy-s,1793792.0,723166.0,58483.0,0.023788324062681134,chequered,1530368.0,753209.0,121904.0,0.056393358292396674
13,object,person,0.055386349134943329,red-c,21004512.0,2599203.0,159793.0,0.0068159670553416783,person,14523849.0,1110218.0,820471.0,0.055386349134943329,torso,7669375.0,676160.0,317040.0,0.039489343893220334,banquet_hall-s,125440.0,425512.0,5157.0,0.009448602497274616,perforated,1793792.0,188867.0,20609.0,0.010503809790780052
34,texture,polka-dotted,0.054825069463159702,black-c,139916835.0,1713348.0,438065.0,0.0031026165355774321,floor,20378155.0,648501.0,230394.0,0.011078625572230241,top,381885.0,117198.0,2048.0,0.0041204341746557075,nursery-s,827904.0,352896.0,5112.0,0.0043480923510319062,polka-dotted,1705984.0,301904.0,104361.0,0.054825069463159702
162,color,red-c,0.054366361786839359,red-c,21004512.0,2491880.0,1211546.0,0.054366361786839359,bus,1628191.0,1256521.0,57050.0,0.020175678705587868,body,1291612.0,388402.0,19992.0,0.012043213885117185,fire_station-s,125440.0,682904.0,4729.0,0.0058846586985061245,zigzagged,1618176.0,430104.0,54864.0,0.027522604413730001
